ID number,Name,State,Public/Private,Average math SAT,Average verbal SAT,Average combined SAT,average ACT,Number of applicants,Number accepted,Number enrolled,Percent of new students in top 10% of HS,Full-time students,Part-time students,In-state tuition,Out-of-state tuition,% of faculty with PhDs,Student/faculty ratio,Graduation rate
3121,Tiffin University,OH,2,372,308,680,19,845,734,254,5,662,351,7600,7600,59,19,39
3630,Prairie View A. and M. University,TX,1,377,332,709,17,2405,2234,1061,10,4564,448,840,4290,55,19.4,35
3642,Texas Southern University,TX,1,390,420,810,19,4345,3245,2604,15,5584,3101,780,7860,65,18.2,10
4759,CUNY-York College,NY,1,395,356,751,,1432,1432,706,5,3932,2937,2450,5050,75,18.9,26
3645,Texas Wesleyan University,TX,2,426,415,841,20,592,501,279,19,1204,392,6400,6400,80,14.5,43
3241,Cabrini College,PA,2,434,419,853,,599,494,224,8,1035,446,10518,10518,59,16.5,71
3598,Our Lady of the Lake University,TX,2,434,407,841,,2308,1336,295,22,1202,942,8530,8530,56,14.9,37
2160,Lesley College,MA,2,435,411,846,,244,198,82,12,1134,336,11700,11700,71,27.8,58
2667,Dowling College,NY,2,440,400,840,18,1011,829,410,9,1059,2458,9000,9000,77,12.4,42
1125,California Baptist College,CA,2,441,395,836,19,308,262,157,,592,113,6370,6370,56,13,43
1599,Valdosta State University,GA,1,442,399,841,21,3674,3247,1586,,5982,1418,1770,4617,67,20,45
2908,Barton College,NC,2,444,396,840,,771,643,229,14,1135,505,7420,7420,55,13.7,67
1572,Georgia Southern University,GA,1,445,399,844,,8388,5423,3034,,11404,1007,1808,4571,60,19.7,46
29020,University of Hawaii at Hilo,HI,1,446,404,850,,1499,779,500,20,2082,871,480,2920,72,15.8,31
1157,California State University at Stanislaus,CA,1,449,400,849,19,1042,830,461,,2895,1678,1584,8868,89,15.3,
1578,LaGrange College,GA,2,449,405,780,,544,399,177,15,600,363,6987,6987,77,12.5,75
1358,Mesa State College,CO,1,451,400,851,20,1584,1456,891,6,3471,911,1434,5016,48,28.8,59
3350,University of the Arts,PA,2,452,443,895,,974,704,290,5,1145,39,12520,12520,16,7.5,57
3435,Lander University,SC,1,455,406,861,18,1166,1009,510,9,2074,341,3340,4938,67,17,51
2737,Iona College,NY,2,457,410,867,19,4892,3530,913,13,3906,1446,10690,10690,66,16,66
3430,Columbia College,SC,2,460,433,893,,737,614,242,21,968,237,10425,10425,61,14.7,76
1785,Anderson University,IN,2,462,423,885,21,1216,908,423,19,1819,281,10100,10100,48,12.1,59
2032,Xavier University of Louisiana,LA,2,469,438,890,21,2097,1915,695,34,2793,166,6900,6900,67,14.4,49
3396,Wilson College,PA,2,470,460,930,,167,130,46,16,199,676,11428,11428,67,8.3,67
1262,Point Loma Nazarene College,CA,2,472,425,897,21,809,687,428,20,1889,217,10176,10178,71,16.1,54
2805,Roberts Wesleyan College,NY,2,473,442,967,21,459,422,212,,932,107,10220,10220,45,13.4,46
1117,Azusa Pacific University,CA,2,474,428,902,21,1080,948,504,25,2032,122,15500,15500,47,12.8,
3714,Hampton University,VA,2,475,442,917,,7178,3755,1433,25,4623,740,7161,7161,60,14,70
1150,California State University at Sacramento,CA,1,476,408,884,,4348,3026,1234,,13724,8161,1716,9096,79,19.2,47
3808,Bethany College,WV,2,479,448,927,23,664,515,210,12,712,10,15700,15700,80,13,59
1891,University of Dubuque,IA,2,480,430,910,22,576,558,137,11,662,131,10430,10430,85,16.5,45
