Part of Season,Date,Age,Opp,Home or Away,Result,GS,MP,FG,FGA,FG%,FG3P,FG3PA,FG3P.PCT,FT,FTA,FT.PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PLUS.MINUS
Regular Season,10/29/13,28-303,CHI,Home,W (+12),1,38:01:00,5,11,0.455,0,1,0,7,9,0.778,0,6,6,8,1,0,2,0,17,16.9,8
Regular Season,10/30/13,28-304,PHI,Away,L (-4),1,36:38:00,9,17,0.529,4,7,0.571,3,4,0.75,0,4,4,13,0,0,4,3,25,21.4,-8
Regular Season,11/1/13,28-306,BRK,Away,L (-1),1,42:14:00,11,19,0.579,1,2,0.5,3,5,0.6,1,6,7,6,2,1,5,2,26,19.9,-3
Regular Season,11/3/13,28-308,WAS,Home,W (+10),1,34:41:00,9,14,0.643,3,5,0.6,4,5,0.8,0,3,3,5,1,0,6,2,25,17,16
Regular Season,11/5/13,28-310,TOR,Away,W (+9),1,36:01:00,13,20,0.65,1,3,0.333,8,8,1,2,6,8,8,0,1,1,2,35,33.9,3
Regular Season,11/7/13,28-312,LAC,Home,W (+5),1,37:09:00,6,13,0.462,1,3,0.333,5,9,0.556,0,5,5,6,1,0,4,4,18,10.8,-1
Regular Season,11/9/13,28-314,BOS,Home,L (-1),1,36:32:00,9,13,0.692,0,0,,7,9,0.778,1,7,8,10,0,0,5,1,25,23.1,5
Regular Season,11/12/13,28-317,MIL,Home,W (+23),1,29:58:00,13,21,0.619,4,7,0.571,3,6,0.5,0,3,3,2,0,0,3,0,33,21.6,14
Regular Season,11/15/13,28-320,DAL,Home,W (+6),1,36:58:00,14,18,0.778,1,1,1,10,11,0.909,0,6,6,4,1,0,6,0,39,31.2,0
Regular Season,11/16/13,28-321,CHA,Away,W (+16),1,31:55:00,13,18,0.722,0,0,,4,4,1,1,3,4,7,1,1,3,1,30,27.4,7
Regular Season,11/19/13,28-324,ATL,Home,W (+16),1,30:42:00,6,13,0.462,0,0,,1,3,0.333,2,4,6,5,1,0,3,0,13,9.6,14
