Year,Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes)
2013,50,N349SW,ATL,6:30,6:24,125,124,-6,6:38,14,0,0,0,0,0
2013,195,N511SW,ELP,17:35,17:32,100,106,-3,17:44,12,0,0,0,0,0
2013,219,N366SW,BNA,12:00,11:56,115,105,-4,12:03,7,0,0,0,0,0
2013,267,N482WN,DAL,12:10,12:46,55,52,36,12:55,9,5,0,0,0,28
2013,273,N467WN,OAK,17:35,17:30,240,234,-5,17:38,8,0,0,0,0,0
2013,280,N514SW,DAL,12:45,12:43,55,56,-2,12:53,10,0,0,0,0,0
2013,323,N952WN,BWI,10:20,10:18,180,170,-2,10:25,7,0,0,0,0,0
2013,350,N941WN,HOU,18:15,18:13,55,47,-2,18:24,11,0,0,0,0,0
2013,360,N623SW,PHX,13:05,13:06,160,159,1,13:16,10,0,0,0,0,0
2013,362,N345SA,PHX,18:30,18:29,160,158,-1,18:38,9,0,0,0,0,0
2013,438,N632SW,LAS,13:25,13:25,190,198,0,13:34,9,0,0,0,0,0
2013,505,N436WN,HOU,9:25,9:23,55,52,-2,9:31,8,0,0,0,0,0
2013,622,N294WN,SJC,7:20,7:19,245,248,-1,7:29,10,0,0,0,0,0
2013,637,N428WN,HOU,14:00,14:02,50,64,2,14:28,26,0,0,16,0,0
2013,718,N937WN,HOU,6:00,6:00,50,45,0,6:11,11,0,0,0,0,0
2013,729,N7738A,DAL,10:05,10:01,60,56,-4,10:12,11,0,0,0,0,0
2013,804,N636WN,DAL,9:05,9:02,60,51,-3,9:10,8,0,0,0,0,0
2013,818,N520SW,ELP,19:25,19:20,100,101,-5,19:30,10,0,0,0,0,0
2013,910,N233LV,DAL,15:05,15:03,55,51,-2,15:09,6,0,0,0,0,0
2013,1017,N492WN,DAL,6:30,6:29,55,55,-1,6:40,11,0,0,0,0,0
2013,1090,N726SW,LAX,9:05,9:09,215,212,4,9:18,9,0,0,0,0,0
2013,1268,N726SW,DEN,20:40,21:48,140,127,68,21:55,7,0,0,0,0,55
2013,1530,N527SW,DAL,17:00,16:59,60,51,-1,17:07,8,0,0,0,0,0
2013,1535,N525SW,DAL,13:30,13:27,60,51,-3,13:37,10,0,0,0,0,0
2013,1640,N8319F,DCA,12:15,12:19,180,169,4,12:26,7,0,0,0,0,0
2013,1695,N736SA,SAN,10:25,10:22,195,201,-3,10:33,11,0,0,0,0,0
2013,1729,N8319F,SAN,20:40,20:37,195,190,-3,20:47,10,0,0,0,0,0
2013,1805,N286WN,BWI,12:55,12:55,175,169,0,13:03,8,0,0,0,0,0
2013,1890,N463WN,TPA,15:10,15:06,135,122,-4,15:14,8,0,0,0,0,0
2013,1894,N286WN,HOU,20:50,20:43,55,41,-7,20:50,7,0,0,0,0,0
2013,1912,N502SW,DAL,6:00,5:59,60,51,-1,6:09,10,0,0,0,0,0
2013,1977,N385SW,LAX,19:55,19:54,210,214,-1,20:04,10,0,0,0,0,0
2013,1982,N461WN,ATL,15:25,15:24,120,116,-1,15:30,6,0,0,0,0,0
2013,2086,N364SW,HRL,11:00,11:00,65,57,0,11:09,9,0,0,0,0,0
2013,2156,N384SW,SJC,20:30,20:32,240,248,2,20:38,6,0,0,0,0,0
2013,2324,N691WN,LBB,18:05,18:14,75,66,9,18:22,8,0,0,0,0,0
2013,2416,N642WN,BNA,16:55,16:54,115,110,-1,17:04,10,0,0,0,0,0
2013,2426,N373SW,MCO,16:25,16:24,145,136,-1,16:31,7,0,0,0,0,0
